# Test three evolutionary algorithms and benchmark the best
# ROI: RouletteWheel,	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOI: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOS: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Swap Mutation(p=1.0
# Notes: Results for PR2392 and USA13509 will come at the end because of long time of running.
# Notes: Results are in CSV format

# Compare three algorithms with varying population sizes
AlgoName,FileName,PopSize,Gen,Cost
TOI,testfiles/eil76.tsp,100,10000,598.7732777434126
TOI,testfiles/eil76.tsp,100,20000,584.0265666405254
TOS,testfiles/eil76.tsp,100,0,2204.1696338953516
TOS,testfiles/eil76.tsp,100,2000,1024.6743472859641
TOS,testfiles/eil76.tsp,100,5000,821.4284871089601
TOS,testfiles/eil76.tsp,100,10000,761.429411520312
TOS,testfiles/eil76.tsp,100,20000,700.4759355260983
ROI,testfiles/eil76.tsp,200,0,2210.919165233249
ROI,testfiles/eil76.tsp,200,2000,1506.4066886429737
ROI,testfiles/eil76.tsp,200,5000,1345.000138131364
ROI,testfiles/eil76.tsp,200,10000,1210.7491045395234
ROI,testfiles/eil76.tsp,200,20000,1031.5577143139037
TOI,testfiles/eil76.tsp,200,0,2206.2438470061666
TOI,testfiles/eil76.tsp,200,2000,903.7480042591218
TOI,testfiles/eil76.tsp,200,5000,689.219010509979
TOI,testfiles/eil76.tsp,200,10000,593.3117668737855
TOI,testfiles/eil76.tsp,200,20000,582.0143490539647
TOS,testfiles/eil76.tsp,200,0,2076.981062397404
TOS,testfiles/eil76.tsp,200,2000,1072.823181178703
TOS,testfiles/eil76.tsp,200,5000,922.4967624603623
TOS,testfiles/eil76.tsp,200,10000,849.4191177603965
TOS,testfiles/eil76.tsp,200,20000,770.4056161107748
ROI,testfiles/eil101.tsp,20,0,3082.830966664322
ROI,testfiles/eil101.tsp,20,2000,1425.5729889490888
ROI,testfiles/eil101.tsp,20,5000,1254.000851661726
ROI,testfiles/eil101.tsp,20,10000,1056.961858855487
